epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,412.302,1.29957,3.93701,1.33507,0.1365,0.26468,0.20886,0.15201,1.17388,3.83499,1.17761,0.000827092,0.000275697,0.000827092,0.000275697,0.000827092,0.000275697,0.000827092,0.000275697
2,691.226,1.08718,3.1895,1.16377,0.71725,0.6191,0.69627,0.47451,1.12631,2.16588,1.15807,0.00149574,0.000498581,0.00149574,0.000498581,0.00149574,0.000498581,0.00149574,0.000498581
3,909.673,1.05375,1.81848,1.14288,0.89958,0.74771,0.84807,0.59314,1.0812,1.39911,1.12197,0.00199946,0.000666487,0.00199946,0.000666487,0.00199946,0.000666487,0.00199946,0.000666487
4,1124.03,0.99726,1.34455,1.12086,0.86508,0.81815,0.89049,0.6362,1.0207,1.17904,1.08947,0.0017568,0.000585599,0.0017568,0.000585599,0.0017568,0.000585599,0.0017568,0.000585599
5,1328.29,0.94419,1.14877,1.07344,0.88377,0.82749,0.90229,0.65145,1.00081,1.05866,1.069,0.0015094,0.000503132,0.0015094,0.000503132,0.0015094,0.000503132,0.0015094,0.000503132
6,1525.49,0.92657,1.04966,1.05148,0.87346,0.84968,0.90357,0.66032,0.98257,1.01871,1.05407,0.00126199,0.000420665,0.00126199,0.000420665,0.00126199,0.000420665,0.00126199,0.000420665
7,2692.89,0.90929,0.97837,1.04624,0.90584,0.84065,0.91553,0.66888,0.97501,0.97616,1.04394,0.00101459,0.000338198,0.00101459,0.000338198,0.00101459,0.000338198,0.00101459,0.000338198
8,2894.44,0.90364,0.94507,1.04303,0.89517,0.862,0.91886,0.67816,0.96069,0.95433,1.03444,0.000767193,0.000255731,0.000767193,0.000255731,0.000767193,0.000255731,0.000767193,0.000255731
9,3095.59,0.88321,0.91258,1.03493,0.88911,0.8717,0.92112,0.68236,0.95479,0.9523,1.02922,0.000519792,0.000173264,0.000519792,0.000173264,0.000519792,0.000173264,0.000519792,0.000173264
10,3287.09,0.88275,0.89388,1.02699,0.88792,0.87615,0.92555,0.68786,0.94462,0.93705,1.02549,0.000272391,9.0797e-05,0.000272391,9.0797e-05,0.000272391,9.0797e-05,0.000272391,9.0797e-05
